market_idx,category,title_start,title_end,slug,market_question,market_action,market_outcome,market_open,event_time,event_kind,event_label,reason_or_source,price_before,price_5m,price_30m,url
7,precursor,2025-01-06,2025-01-20,microstrategy-purchases-more-bitcoin-before-inauguration-jan-20,MicroStrategy purchases more Bitcoin before inauguration?,SKIP,YES,0.875,2025-01-12T13:02:23Z,hint_yes_strong,强买入暗示: Thinking about the next green dot on https://t.co/Bx3917zeAK . pic.twitter.com/dCIhEzRLuW,x/oEmbed · 语义结构与历史 dots/orange/work/HODL 买入或不买暗示一致，需结合价格曲线看是否已被交易,0.82,0.98,0.9774,https://x.com/saylor/status/1878427303874633866
7,precursor,2025-01-06,2025-01-20,microstrategy-purchases-more-bitcoin-before-inauguration-jan-20,MicroStrategy purchases more Bitcoin before inauguration?,SKIP,YES,0.875,2025-01-13T13:02:34Z,confirm_yes,"官方确认买入: MicroStrategy has acquired 2,530 BTC for ~$243 million at ~$95,972 per bitcoin and has achieved BTC Yield of 0.32% YT",x/oEmbed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.999,0.999,0.999,https://x.com/saylor/status/1878789738720805176
8,precursor,2025-01-13,2025-01-20,microstrategy-purchases-more-bitcoin-before-inauguration,MicroStrategy purchases more Bitcoin before inauguration?,SKIP,NO,0.88,2025-01-18T21:02:13Z,hint_yes_weak,弱买入暗示: France could use more Bitcoin. https://t.co/hHBWzUXjVP,x/oEmbed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.7088,0.7,0.69,https://x.com/saylor/status/1880722387425275993
9,precursor,2025-01-20,2025-01-31,will-microstrategy-purchase-more-bitcoin-in-january,Will MicroStrategy purchase more Bitcoin in January?,SKIP,YES,0.76,2025-01-21T13:02:13Z,confirm_yes,"官方确认买入: MicroStrategy has acquired 11,000 BTC for ~$1.1 billion at ~$101,191 per bitcoin and has achieved BTC Yield of 1.69% ",x/oEmbed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.93,0.99,0.999,https://x.com/saylor/status/1881688755096174607
10,precursor,2025-01-21,2025-01-31,will-microstrategy-purchase-more-bitcoin-before-february,Will MicroStrategy purchase more Bitcoin before February?,SKIP,YES,0.825,2025-01-24T15:51:10Z,hint_yes_weak,"弱买入暗示: Borrow ₿illions, Buy Bitcoin pic.twitter.com/5MVcrNsnL4",x/oEmbed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.9,0.9,0.9,https://x.com/saylor/status/1882818435496968441
10,precursor,2025-01-21,2025-01-31,will-microstrategy-purchase-more-bitcoin-before-february,Will MicroStrategy purchase more Bitcoin before February?,SKIP,YES,0.825,2025-01-27T12:03:15Z,confirm_yes,"官方确认买入: MicroStrategy has acquired 10,107 BTC for ~$1.1 billion at ~$105,596 per bitcoin and has achieved BTC Yield of 2.90% ",x/oEmbed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.991,0.999,0.999,https://x.com/saylor/status/1883848242376650840
11,series,2025-01-28,2025-02-03,will-microstrategy-purchase-more-bitcoin-by-monday,Will MicroStrategy purchase more Bitcoin by Monday?,SKIP,NO,0.915,2025-02-03T13:04:19Z,confirm_no,"官方确认未买: Last week, MicroStrategy did not sell any shares of class A common stock under its at-the-market equity offering prog",x/oEmbed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.0058,0.001,0.002,https://x.com/saylor/status/1886400323268345864
13,series,2025-02-04,2025-02-10,will-microstrategy-purchase-bitcoin-feb-4-10,Will MicroStrategy purchase Bitcoin Feb 4-10?,BUY YES,YES,0.75,2025-02-09T14:38:57Z,hint_yes_strong,强买入暗示: Death to the blue lines. Long live the green dots. pic.twitter.com/SOtFHRoykd,x/oEmbed · 图表暗示：Death to the blue lines / Long live the green dots，强烈指向新增买入点,0.3,0.98,0.9,https://x.com/saylor/status/1888598467729150282
13,series,2025-02-04,2025-02-10,will-microstrategy-purchase-bitcoin-feb-4-10,Will MicroStrategy purchase Bitcoin Feb 4-10?,BUY YES,YES,0.75,2025-02-10T12:48:39Z,confirm_yes,"官方确认买入: $MSTR has acquired 7,633 BTC for ~$742.4 million at ~$97,255 per bitcoin and has achieved BTC Yield of 4.1% YTD 2025.",x/oEmbed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.9963,0.999,0.999,https://x.com/saylor/status/1888933096424177829
14,series,2025-02-11,2025-02-17,will-microstrategy-purchase-bitcoin-feb-11-17,Will Strategy purchase Bitcoin Feb 11-17?,SKIP,NO,0.865,2025-02-15T19:23:46Z,hint_yes_weak,"弱买入暗示: When you buy Bitcoin, you strengthen the network. When you sell Bitcoin, you weaken it.",x/oEmbed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.22,0.309,0.24,https://x.com/saylor/status/1890844468632309884
14,series,2025-02-11,2025-02-17,will-microstrategy-purchase-bitcoin-feb-11-17,Will Strategy purchase Bitcoin Feb 11-17?,SKIP,NO,0.865,2025-02-17T14:17:30Z,hint_yes_weak,"弱买入暗示: 21 Rules of ₿itcoin 1. Those who understand buy Bitcoin. 2. Those who don’t, criticize Bitcoin. 3. Everyone is agains",x/oEmbed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.013,0.0129,0.0089,https://x.com/saylor/status/1891492169409593715
15,series,2025-02-18,2025-02-24,will-strategy-purchase-bitcoin-feb-18-24,Will Strategy purchase Bitcoin Feb 18-24?,BUY YES,YES,0.555,2025-02-18T13:11:38Z,confirm_no,"官方确认未买: Last week, @Strategy did not sell any shares of class A common stock under its at-the-market equity offering program,",x/oEmbed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.548,0.548,0.4832,https://x.com/saylor/status/1891837982513995850
15,series,2025-02-18,2025-02-24,will-strategy-purchase-bitcoin-feb-18-24,Will Strategy purchase Bitcoin Feb 18-24?,BUY YES,YES,0.555,2025-02-23T13:53:47Z,hint_yes_strong,强买入暗示: I don't think this reflects what I got done last week. pic.twitter.com/57Qe7QfwKm,x/oEmbed · 语义暗示：what I got done last week 尚未反映，结合次日大额买入确认，指向上周已完成买入,0.66,0.96,0.98,https://x.com/saylor/status/1893660529131974865
15,series,2025-02-18,2025-02-24,will-strategy-purchase-bitcoin-feb-18-24,Will Strategy purchase Bitcoin Feb 18-24?,BUY YES,YES,0.555,2025-02-24T13:04:44Z,confirm_yes,"官方确认买入: Strategy has acquired 20,356 BTC for ~$1.99B at ~$97,514 per bitcoin and has achieved BTC Yield of 6.9% YTD 2025. As ",x/oEmbed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.999,0.999,0.999,https://x.com/saylor/status/1894010574494687441
16,series,2025-02-25,2025-03-03,will-strategy-purchase-bitcoin-feb-25-mar-3,Will Strategy purchase Bitcoin Feb 25-Mar 3?,BUY YES,NO,0.65,2025-02-25T14:00:16Z,hint_yes_weak,弱买入暗示: Considering a second job to acquire more Bitcoin. pic.twitter.com/IkXLlqnr95,x/oEmbed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.66,0.66,0.67,https://x.com/saylor/status/1894386938381271163
16,series,2025-02-25,2025-03-03,will-strategy-purchase-bitcoin-feb-25-mar-3,Will Strategy purchase Bitcoin Feb 25-Mar 3?,BUY YES,NO,0.65,2025-03-02T15:39:46Z,hint_yes_weak,"弱买入暗示: Buy Bitcoin, not Bombs.",x/oEmbed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.012,0.0196,0.012,https://x.com/saylor/status/1896223917951668722
16,series,2025-02-25,2025-03-03,will-strategy-purchase-bitcoin-feb-25-mar-3,Will Strategy purchase Bitcoin Feb 25-Mar 3?,BUY YES,NO,0.65,2025-03-03T13:04:57Z,confirm_no,"官方确认未买: Last week, @Strategy did not sell any shares of class A common stock under its at-the-market equity offering program,",x/oEmbed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.001,0.001,0.001,https://x.com/saylor/status/1896547344893788477
16,series,2025-02-25,2025-03-03,will-strategy-purchase-bitcoin-feb-25-mar-3,Will Strategy purchase Bitcoin Feb 25-Mar 3?,BUY YES,NO,0.65,2025-03-03T14:00:33Z,hint_no_weak,弱不买暗示: HODL,x/oEmbed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.001,0.001,0.001,https://x.com/saylor/status/1896561335389090139
17,series,2025-03-04,2025-03-10,will-strategy-purchase-bitcoin-feb-mar-4-10,Will Strategy purchase Bitcoin Feb Mar 4-10?,BUY YES,NO,0.515,2025-03-07T02:23:32Z,hint_yes_weak,弱买入暗示: I have a few budget-neutral strategies for acquiring additional bitcoin...,x/oEmbed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.53,0.53,0.53,https://x.com/saylor/status/1897835477119492559
18,series,2025-03-11,2025-03-17,will-strategy-purchase-bitcoin-feb-mar-11-17,Will Strategy purchase Bitcoin Feb Mar 11-17?,BUY YES,YES,0.475,2025-03-11T11:41:15Z,hint_yes_weak,弱买入暗示: We purchased 78% of the United States for $40 million. America should buy Bitcoin. pic.twitter.com/peBUix9AC3,x/oEmbed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.58,0.58,0.58,https://x.com/saylor/status/1899425381360288059
18,series,2025-03-11,2025-03-17,will-strategy-purchase-bitcoin-feb-mar-11-17,Will Strategy purchase Bitcoin Feb Mar 11-17?,BUY YES,YES,0.475,2025-03-17T12:07:32Z,confirm_yes,"官方确认买入: Strategy has acquired 130 BTC for ~$10.7M at ~$82,981 per bitcoin and has achieved BTC Yield of 6.9% YTD 2025. As of ",x/oEmbed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.998,0.9948,0.999,https://x.com/saylor/status/1901606324447646170
19,series,2025-03-18,2025-03-24,will-strategy-purchase-bitcoin-mar-18-24,Will Strategy purchase Bitcoin March 18-24?,BUY YES,YES,0.52,2025-03-23T12:58:22Z,hint_yes_strong,强买入暗示: Needs more Orange. pic.twitter.com/BRyWs1ey80,x/oEmbed · 语义结构与历史 dots/orange/work/HODL 买入或不买暗示一致，需结合价格曲线看是否已被交易,0.55,0.98,0.973,https://x.com/saylor/status/1903793445237305409
19,series,2025-03-18,2025-03-24,will-strategy-purchase-bitcoin-mar-18-24,Will Strategy purchase Bitcoin March 18-24?,BUY YES,YES,0.52,2025-03-24T12:04:55Z,confirm_yes,"官方确认买入: $MSTR has acquired 6,911 BTC for ~$584.1 million at ~$84,529 per bitcoin and has achieved BTC Yield of 7.7% YTD 2025.",x-weekly-browser-audit + x-oembed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.999,0.999,0.999,https://x.com/saylor/status/1904142379646415203
21,series-missing,2025-03-25,2025-03-31,will-microstrategy-purchase-bitcoin-march-25-31,Will MicroStrategy purchase Bitcoin March 25-31?,BUY YES,YES,0.815,2025-03-25T12:34:20Z,hint_yes_weak,弱买入暗示: Fade to Orange pic.twitter.com/M0RiwCUV1Y,x-weekly-browser-audit + x-oembed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.82,0.8104,0.83,https://x.com/saylor/status/1904512169816822195
21,series-missing,2025-03-25,2025-03-31,will-microstrategy-purchase-bitcoin-march-25-31,Will MicroStrategy purchase Bitcoin March 25-31?,BUY YES,YES,0.815,2025-03-29T17:54:24Z,hint_yes_weak,"弱买入暗示: More Bitcoin, Less Risk pic.twitter.com/xkgB5ANk5w",x/oEmbed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.79,0.79,0.811,https://x.com/saylor/status/1906042270085787851
21,series-missing,2025-03-25,2025-03-31,will-microstrategy-purchase-bitcoin-march-25-31,Will MicroStrategy purchase Bitcoin March 25-31?,BUY YES,YES,0.815,2025-03-30T12:06:23Z,hint_yes_strong,强买入暗示: Needs even more Orange. pic.twitter.com/lV5qgUP6oY,x/oEmbed · 语义结构与历史 dots/orange/work/HODL 买入或不买暗示一致，需结合价格曲线看是否已被交易,0.79,0.99,0.9822,https://x.com/saylor/status/1906317075473158364
21,series-missing,2025-03-25,2025-03-31,will-microstrategy-purchase-bitcoin-march-25-31,Will MicroStrategy purchase Bitcoin March 25-31?,BUY YES,YES,0.815,2025-03-31T12:03:16Z,confirm_yes,"官方确认买入: $MSTR has acquired 22,048 BTC for ~$1.92 billion at ~$86,969 per bitcoin and has achieved BTC Yield of 11.0% YTD 2025",x/oEmbed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.999,0.999,0.999,https://x.com/saylor/status/1906678678714556632
23,series,2025-04-01,2025-04-07,will-microstrategy-purchase-bitcoin-april-1-7,Will MicroStrategy purchase Bitcoin April 1-7?,BUY YES,NO,0.815,2025-04-01T12:03:10Z,hint_yes_weak,弱买入暗示: Don’t be a fool. Buy Bitcoin. pic.twitter.com/8UDmpAZD7t,x-weekly-browser-audit + x-oembed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.76,0.76,0.76,https://x.com/saylor/status/1907041041259135148
24,series,2025-04-08,2025-04-14,will-microstrategy-purchase-bitcoin-april-8-14,Will MicroStrategy purchase Bitcoin April 8-14?,BUY YES,YES,0.52,2025-04-09T12:00:04Z,hint_no_weak,弱不买暗示: HODL,chrome-x-search + x-oembed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.44,0.44,0.49,https://x.com/saylor/status/1909939364588585270
24,series,2025-04-08,2025-04-14,will-microstrategy-purchase-bitcoin-april-8-14,Will MicroStrategy purchase Bitcoin April 8-14?,BUY YES,YES,0.52,2025-04-10T12:34:23Z,hint_yes_weak,弱买入暗示: ₿uy the Future pic.twitter.com/tIcwWe0leX,chrome-x-search + x-oembed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.64,0.64,0.64,https://x.com/saylor/status/1910310391277564056
24,series,2025-04-08,2025-04-14,will-microstrategy-purchase-bitcoin-april-8-14,Will MicroStrategy purchase Bitcoin April 8-14?,BUY YES,YES,0.52,2025-04-13T13:17:25Z,hint_yes_strong,强买入暗示: No Tariffs on Orange Dots pic.twitter.com/Cg3bCVPMcM,chrome-x-search + x-oembed · 语义结构与历史 dots/orange/work/HODL 买入或不买暗示一致，需结合价格曲线看是否已被交易,0.24,0.97,0.99,https://x.com/saylor/status/1911408383808217104
24,series,2025-04-08,2025-04-14,will-microstrategy-purchase-bitcoin-april-8-14,Will MicroStrategy purchase Bitcoin April 8-14?,BUY YES,YES,0.52,2025-04-14T12:03:16Z,confirm_yes,"官方确认买入: $MSTR has acquired 3,459 BTC for ~$285.8 million at ~$82,618 per bitcoin and has achieved BTC Yield of 11.4% YTD 2025",chrome-x-search + x-oembed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.999,0.999,0.999,https://x.com/saylor/status/1911752108862251160
25,series,2025-04-15,2025-04-21,will-microstrategy-purchase-bitcoin-april-15-21,Will MicroStrategy purchase Bitcoin April 15-21?,SKIP,YES,0.705,2025-04-20T12:32:58Z,hint_yes_strong,强买入暗示: Insufficient Orange. pic.twitter.com/Gz36jJELBs,chrome-x-search + x-oembed · 图表暗示：Insufficient Orange，语义是 orange/buying 图上不足,0.37,0.988,0.986,https://x.com/saylor/status/1913933911379378484
25,series,2025-04-15,2025-04-21,will-microstrategy-purchase-bitcoin-april-15-21,Will MicroStrategy purchase Bitcoin April 15-21?,SKIP,YES,0.705,2025-04-21T12:03:41Z,confirm_yes,"官方确认买入: $MSTR has acquired 6,556 BTC for ~$555.8 million at ~$84,785 per bitcoin and has achieved BTC Yield of 12.1% YTD 2025",chrome-x-search + x-oembed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.999,0.999,0.999,https://x.com/saylor/status/1914288929173389814
26,series,2025-04-22,2025-04-28,will-microstrategy-purchase-bitcoin-april-22-28,Will MicroStrategy purchase Bitcoin April 22-28?,SKIP,YES,0.555,2025-04-27T12:54:50Z,hint_yes_weak,弱买入暗示: Stay Humble. Stack Sats. pic.twitter.com/gkjvxkn5Ek,chrome-x-search + x-oembed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.77,0.99,0.989,https://x.com/saylor/status/1916476128673284289
26,series,2025-04-22,2025-04-28,will-microstrategy-purchase-bitcoin-april-22-28,Will MicroStrategy purchase Bitcoin April 22-28?,SKIP,YES,0.555,2025-04-28T12:02:36Z,confirm_yes,"官方确认买入: $MSTR has acquired 15,355 BTC for ~$1.42 billion at ~$92,737 per bitcoin and has achieved BTC Yield of 13.7% YTD 2025",chrome-x-search + x-oembed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.999,0.999,0.999,https://x.com/saylor/status/1916825375155380688
27,series,2025-04-29,2025-05-05,will-microstrategy-purchase-bitcoin-april-29-may-5,Will MicroStrategy purchase Bitcoin April 29-May 5?,BUY YES,YES,0.83,2025-05-01T00:07:50Z,hint_yes_weak,"弱买入暗示: By the time your financial adviser says it’s OK to buy Bitcoin, it’ll cost $1 million. When they say it’s a good idea",x-weekly-browser-audit + x-oembed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.84,0.84,0.84,https://x.com/saylor/status/1917732661558194524
27,series,2025-04-29,2025-05-05,will-microstrategy-purchase-bitcoin-april-29-may-5,Will MicroStrategy purchase Bitcoin April 29-May 5?,BUY YES,YES,0.83,2025-05-01T15:06:37Z,hint_yes_weak,弱买入暗示: $MSTR is now up more than 3000% since adopting the Bitcoin Standard. pic.twitter.com/ZqBKMHG999,x-weekly-browser-audit + x-oembed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.85,0.85,0.85,https://x.com/saylor/status/1917958845873471611
27,series,2025-04-29,2025-05-05,will-microstrategy-purchase-bitcoin-april-29-may-5,Will MicroStrategy purchase Bitcoin April 29-May 5?,BUY YES,YES,0.83,2025-05-02T17:15:18Z,hint_yes_weak,弱买入暗示: Always ₿e Stacking,chrome-x-search + x-oembed · 人工复核降级：Always ₿e Stacking 与买入主题相关，但没有 Strategy 当期交易、dots 或时间锚,0.85,0.85,0.85,https://x.com/saylor/status/1918353617477911034
27,series,2025-04-29,2025-05-05,will-microstrategy-purchase-bitcoin-april-29-may-5,Will MicroStrategy purchase Bitcoin April 29-May 5?,BUY YES,YES,0.83,2025-05-04T13:53:59Z,hint_yes_strong,"强买入暗示: Too much blue, not enough orange. pic.twitter.com/s1L6tWfC14","chrome-x-search + x-oembed · 图表暗示：Too much blue, not enough orange，语义是缺新增买入/orange",0.5,0.996,0.993,https://x.com/saylor/status/1919027732140204508
