reviewed,time,id,url,markets,review_label,trade_relevance,confidence,review_method,review_reason,price_curve_note,current_kind,semantic_override_kind,semantic_reason,market_context,text
yes,2024-11-09T17:00:11.335000Z,1855294324566610406,https://x.com/saylor/status/1855294324566610406,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],Get your #Bitcoin before supplies run out. pic.twitter.com/qMhLzsaP6q
yes,2024-11-10T12:32:20.759000Z,1855589307550986263,https://x.com/saylor/status/1855589307550986263,,hint_yes_strong,actionable,medium,semantic_signal_full_pass,语义结构与历史 dots/orange/work/HODL 买入或不买暗示一致，需结合价格曲线看是否已被交易,,hint_yes_strong,,,[],I think https://t.co/meaZhpFNq9 needs more green dots. pic.twitter.com/faeNCKAvNQ
yes,2024-11-10T17:56:24.655000Z,1855670861161812408,https://x.com/saylor/status/1855670861161812408,,irrelevant_or_unrelated,none,low,semantic_irrelevant_full_pass,与买 BTC 市场无直接关系,,,,,[],There is No Second Best pic.twitter.com/PYEl3mEJU6
yes,2024-11-11T13:03:31.890000Z,1855959543508828428,https://x.com/saylor/status/1855959543508828428,,confirm_yes,actionable,high,confirmed_disclosure,Saylor/Strategy 明确披露买入或未买入，是最终确认信号,,confirm_yes,,,[],"MicroStrategy has acquired 27,200 BTC for ~$2.03 billion at ~$74,463 per #bitcoin and has achieved BTC Yield of 7.3% QTD and 26.4% YTD. As of 11/10/2024, we hodl 279,420 $BTC acquired for ~$11.9 billion at ~$42,692 per bitcoin. $MSTR https://t.co/uCt8nNUVqd"
yes,2024-11-11T14:01:30.785000Z,1855974135052046794,https://x.com/saylor/status/1855974135052046794,,context_treasury_metrics,context,medium,semantic_context_full_pass,BTC Yield/Gain/持仓或财务指标复盘，通常是背景而非当期买入确认,,context,,,[],"Our $MSTR treasury operations in the first 10 days of November resulted in a BTC Yield of 7.3%, a net benefit to our shareholders of ~18,410 BTC."
yes,2024-11-11T16:07:28.743000Z,1856005835425517854,https://x.com/saylor/status/1856005835425517854,,context_media_policy,context,low,semantic_context_full_pass,访谈/媒体/观点传播，非具体买入信号,,context,,,[],#Bitcoin 's Post Election Rally with @KenzieSigalos . pic.twitter.com/lBYt48EhMz
yes,2024-11-11T18:28:50.725000Z,1856041411436589317,https://x.com/saylor/status/1856041411436589317,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],We think that #Bitcoin could become the next Strategic Reserve Asset. pic.twitter.com/B2DE5yhb7K
yes,2024-11-11T19:09:23.398000Z,1856051614806880589,https://x.com/saylor/status/1856051614806880589,,irrelevant_or_unrelated,none,low,semantic_irrelevant_full_pass,与买 BTC 市场无直接关系,,,,,[],"You finally made me laugh, Peter. 😂"
yes,2024-11-11T23:21:01.468000Z,1856114940701991297,https://x.com/saylor/status/1856114940701991297,,irrelevant_or_unrelated,none,low,semantic_irrelevant_full_pass,与买 BTC 市场无直接关系,,,,,[],"Have Spacesuit, Will Travel 🚀 pic.twitter.com/b7ZaIjZbeW"
yes,2024-11-12T13:00:25.208000Z,1856321148373393786,https://x.com/saylor/status/1856321148373393786,,context_treasury_metrics,context,medium,semantic_context_full_pass,BTC Yield/Gain/持仓或财务指标复盘，通常是背景而非当期买入确认,,context,,,[],"This year, $MSTR treasury operations delivered a BTC Yield of 26.4%, providing a net benefit of ~49,936 BTC to our shareholders. This is equivalent to 157.5 BTC per day, acquired without the operational costs or capital investments typically associated with bitcoin mining."
yes,2024-11-12T18:36:27.024000Z,1856405713158811730,https://x.com/saylor/status/1856405713158811730,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],"It's never too late to reconcile with #Bitcoin , Dave."
yes,2024-11-13T13:20:00.451000Z,1856688465565352442,https://x.com/saylor/status/1856688465565352442,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],Bank with #Bitcoin pic.twitter.com/xMGkFNFcsn
yes,2024-11-13T17:29:19.646000Z,1856751208977109199,https://x.com/saylor/status/1856751208977109199,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],Planning the #Bitcoin 100K Party
yes,2024-11-14T13:06:23.058000Z,1857047425036308488,https://x.com/saylor/status/1857047425036308488,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],#Bitcoin is Going Ballistic pic.twitter.com/HRl3RMRS15
yes,2024-11-14T22:31:52.566000Z,1857189735707644376,https://x.com/saylor/status/1857189735707644376,,context_policy,context,low,semantic_context_full_pass,政策/宏观采用叙事，非 Strategy 当期买入信号,,context,,,[],"Bitcoin is Manifest Destiny for the United States. My discussion of The Red Wave, MicroStrategy's $42 Billion Plan, the compelling logic of the Strategic #Bitcoin Reserve, and getting ready for the 100K party, with @MorganLBrennan . pic.twitter.com/fvkwRnCzlU"
yes,2024-11-14T23:31:36.683000Z,1857204768583602626,https://x.com/saylor/status/1857204768583602626,,irrelevant_or_unrelated,none,low,semantic_irrelevant_full_pass,与买 BTC 市场无直接关系,,,,,[],Congratulations. I look forward to seeing you Make America Healthy Again.
yes,2024-11-15T04:10:21.443000Z,1857274917311418787,https://x.com/saylor/status/1857274917311418787,,irrelevant_reply,none,low,semantic_irrelevant_full_pass,短回复/社交互动，无法指向 Strategy 当期买或不买 BTC,,,,,[],Congratulations Tulsi.
yes,2024-11-15T13:13:38.247000Z,1857411638216859898,https://x.com/saylor/status/1857411638216859898,,context_policy,context,low,semantic_context_full_pass,政策/宏观采用叙事，非 Strategy 当期买入信号,,context,,,[],#Bitcoin is Manifest Destiny for the United States https://t.co/lgEks2yKJK
yes,2024-11-15T16:23:30.762000Z,1857459421888086349,https://x.com/saylor/status/1857459421888086349,,hint_yes_weak,weak_signal,low,semantic_signal_full_pass,泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,,hint_yes_weak,,,[],"Sell the Past, ₿uy the Future https://t.co/46RHg0xyyE"
yes,2024-11-15T20:33:13.783000Z,1857522265232974186,https://x.com/saylor/status/1857522265232974186,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],You'll get #Bitcoin if you do the work. Congratulations @JoeSquawk pic.twitter.com/EsAFwv38Cu
yes,2024-11-16T13:22:29.486000Z,1857776254260330800,https://x.com/saylor/status/1857776254260330800,,context_policy,context,low,semantic_context_full_pass,政策/宏观采用叙事，非 Strategy 当期买入信号,,context,,,[],"My recent thoughts on Bitcoin, MicroStrategy, and the crypto industry in the aftermath of the sweeping Trump/Vance victory on Nov 5: the drivers behind the Crypto Renaissance, a Digital Assets Framework, and the geopolitical logic of the Strategic #Bitcoin Reserve. pic.twitter.com/AWsHcuc3UK"
yes,2024-11-16T13:24:46.329000Z,1857776828221473170,https://x.com/saylor/status/1857776828221473170,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],"Bitcoin, The Red Wave, and The Crypto Renaissance https://t.co/2cadNofM83"
yes,2024-11-16T13:26:06.788000Z,1857777165690892693,https://x.com/saylor/status/1857777165690892693,,context_media_policy,context,low,semantic_context_full_pass,访谈/媒体/观点传播，非具体买入信号,,context,,,[],"The Presentation Slides for Bitcoin, The Red Wave, and The Crypto Renaissance https://t.co/pgaZnPkptI"
yes,2024-11-16T17:40:37.005000Z,1857841213623382051,https://x.com/saylor/status/1857841213623382051,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],"MicroStrategy’s $26 Billion #Bitcoin Cache Is Larger Than IBM, Nike Cash Holdings https://t.co/E5Q3bgDUsA"
yes,2024-11-17T13:01:43.505000Z,1858133416102723888,https://x.com/saylor/status/1858133416102723888,,hint_yes_strong,actionable,medium,semantic_signal_full_pass,语义结构与历史 dots/orange/work/HODL 买入或不买暗示一致，需结合价格曲线看是否已被交易,,hint_yes_strong,,,[],I think https://t.co/meaZhpFNq9 needs even more green dots. pic.twitter.com/Rs5hgrnbAm
yes,2024-11-17T15:01:20.874000Z,1858163520170279074,https://x.com/saylor/status/1858163520170279074,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],So… does this mean RealVision is upgrading to BitcoinVision?
yes,2024-11-17T20:35:24.195000Z,1858247587951788410,https://x.com/saylor/status/1858247587951788410,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],Will #Bitcoin Break $100K by New Year's Eve?
yes,2024-11-18T13:03:05.058000Z,1858496146026467378,https://x.com/saylor/status/1858496146026467378,,confirm_yes,actionable,high,confirmed_disclosure,Saylor/Strategy 明确披露买入或未买入，是最终确认信号,,confirm_yes,,,[],"MicroStrategy has acquired 51,780 BTC for ~$4.6 billion at ~$88,627 per #bitcoin and has achieved BTC Yield of 20.4% QTD and 41.8% YTD. As of 11/17/2024, we hodl 331,200 $BTC acquired for ~$16.5 billion at ~$49,874 per bitcoin. $MSTR https://t.co/SRRtRrB2jO"
yes,2024-11-18T13:31:56.701000Z,1858503409063592075,https://x.com/saylor/status/1858503409063592075,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],Welcome to the #Bitcoin Standard
yes,2024-11-18T14:04:03.468000Z,1858511490510123437,https://x.com/saylor/status/1858511490510123437,,context_treasury_metrics,context,medium,semantic_context_full_pass,BTC Yield/Gain/持仓或财务指标复盘，通常是背景而非当期买入确认,,context,,,[],"Our $MSTR treasury operations in the first 17 days of November resulted in a BTC Yield of 20.4%, a net benefit to our shareholders of ~51,470 BTC."
yes,2024-11-18T17:09:53.400000Z,1858558256714494186,https://x.com/saylor/status/1858558256714494186,,context_media_policy,context,low,semantic_context_full_pass,访谈/媒体/观点传播，非具体买入信号,,context,,,[],"#Bitcoin , Digital Assets, & $MSTR with @NatBrunell https://t.co/1IoW2RQNMz"
yes,2024-11-18T18:52:21.239000Z,1858584042620305743,https://x.com/saylor/status/1858584042620305743,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],"""I think comfortably over $100K makes sense before the end of this year."" - @fundstrat on #Bitcoin pic.twitter.com/IxkyB1TMa4"
yes,2024-11-18T21:04:34.089000Z,1858617315405033963,https://x.com/saylor/status/1858617315405033963,,context_funding,context,medium,semantic_context_full_pass,融资/证券/信用工具相关，会影响资金能力预期，但不是买 BTC 的确认或强暗示,,context,,,[],MicroStrategy Announces Proposed Private Offering of $1.75B of Convertible Senior Notes. $MSTR https://t.co/dBJMUvfjj1
yes,2024-11-18T21:35:24.022000Z,1858625074586157404,https://x.com/saylor/status/1858625074586157404,,context_funding,context,medium,semantic_context_full_pass,融资/证券/信用工具相关，会影响资金能力预期，但不是买 BTC 的确认或强暗示,,context,,,[],"Qualified Institutional Buyers (QIBs) interested in learning more about the proposed private offering of convertible senior notes launched by $MSTR today can register for the live Video Webinar on Tuesday, 11/19, at 9am ET by completing this survey: https://t.co/BxMUPckiGk"
yes,2024-11-19T12:29:20.219000Z,1858850041101697295,https://x.com/saylor/status/1858850041101697295,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],Welcome to the #Bitcoin Standard
yes,2024-11-19T12:35:55.335000Z,1858851698338345365,https://x.com/saylor/status/1858851698338345365,,context_treasury_metrics,context,medium,semantic_context_full_pass,BTC Yield/Gain/持仓或财务指标复盘，通常是背景而非当期买入确认,,context,,,[],"Year to date, $MSTR 's treasury operations delivered a BTC Yield of 41.8%, providing a net benefit of ~79,130 BTC to our shareholders. This equates to ~246 BTC per day, acquired without the cost, energy consumption, or capital expenditures typically associated with Bitcoin mining."
yes,2024-11-19T12:57:49.039000Z,1858857208412340712,https://x.com/saylor/status/1858857208412340712,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],You do not sell your #Bitcoin .
yes,2024-11-19T16:32:07.944000Z,1858911142569005475,https://x.com/saylor/status/1858911142569005475,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],Congrats Fred. I may need to #Bitcoin harder.
yes,2024-11-19T18:48:44.939000Z,1858945523258159169,https://x.com/saylor/status/1858945523258159169,,irrelevant_or_unrelated,none,low,semantic_irrelevant_full_pass,与买 BTC 市场无直接关系,,,,,[],Yes. I would be happy to discuss why & how with you.
yes,2024-11-19T21:01:11.751000Z,1858978854603534522,https://x.com/saylor/status/1858978854603534522,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],Should $RUM add #BItcoin to its Balance Sheet? https://t.co/fqDoZCS9tW
yes,2024-11-19T23:21:00.331000Z,1859014038857879947,https://x.com/saylor/status/1859014038857879947,1,irrelevant_reply,none,low,semantic_irrelevant_full_pass,短回复/社交互动，无法指向 Strategy 当期买或不买 BTC,,,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]","Congratulations, Howard."
yes,2024-11-20T13:03:15.133000Z,1859220964015243680,https://x.com/saylor/status/1859220964015243680,1,context_funding,context,medium,semantic_context_full_pass,融资/证券/信用工具相关，会影响资金能力预期，但不是买 BTC 的确认或强暗示,,context,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]",MicroStrategy Announces Pricing of Convertible Senior Notes Offering $MSTR https://t.co/yglCjkGs1V
yes,2024-11-20T13:55:12.020000Z,1859234037186904238,https://x.com/saylor/status/1859234037186904238,1,context_funding,context,medium,semantic_context_full_pass,融资/证券/信用工具相关，会影响资金能力预期，但不是买 BTC 的确认或强暗示,,context,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]","Given high demand, we upsized our $MSTR offering of 0% convertible bonds due 2029 from $1.75 billion to $2.6 billion, including a $400 million greenshoe option, and priced it at a 55% conversion premium."
yes,2024-11-20T16:02:46.523000Z,1859266142499459473,https://x.com/saylor/status/1859266142499459473,1,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]",#Bitcoin Options Have Arrived pic.twitter.com/StjKt0HXk8
yes,2024-11-20T19:08:46.944000Z,1859312952697864218,https://x.com/saylor/status/1859312952697864218,1,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]",$SMLR is a company on the #Bitcoin Standard. https://t.co/prMC2SfWSS
yes,2024-11-20T19:51:17.009000Z,1859323648445907155,https://x.com/saylor/status/1859323648445907155,1,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]",You do not sell your #Bitcoin .
yes,2024-11-21T12:02:46.924000Z,1859568134069313891,https://x.com/saylor/status/1859568134069313891,1,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]",We're going to need a bigger rocket. #Bitcoin pic.twitter.com/pa6sAvm3RO
yes,2024-11-21T12:13:54.633000Z,1859570934643872111,https://x.com/saylor/status/1859570934643872111,1,irrelevant_reply,none,low,semantic_irrelevant_full_pass,短回复/社交互动，无法指向 Strategy 当期买或不买 BTC,,,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]",Keep the laser eyes.
yes,2024-11-21T15:17:16.110000Z,1859617078182867169,https://x.com/saylor/status/1859617078182867169,1,hint_yes_weak,weak_signal,low,semantic_signal_full_pass,泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,,hint_yes_weak,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]",Sell the Past. ₿uy the Future. https://t.co/nJQtTBP4lj
yes,2024-11-21T21:03:23.257000Z,1859704181910868139,https://x.com/saylor/status/1859704181910868139,1,context_funding,context,medium,semantic_context_full_pass,融资/证券/信用工具相关，会影响资金能力预期，但不是买 BTC 的确认或强暗示,,context,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]","$MSTR has completed a $3 billion offering of convertible notes at 0% coupon and 55% premium, with an implied strike price of ~$672. https://t.co/GzO0br0Xfh"
yes,2024-11-22T13:55:23.784000Z,1859958862260121861,https://x.com/saylor/status/1859958862260121861,1,context_funding,context,medium,semantic_context_full_pass,融资/证券/信用工具相关，会影响资金能力预期，但不是买 BTC 的确认或强暗示,,context,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]","MicroStrategy is powered by its #Bitcoin treasury operations. We sell volatility through our ATM offerings, strip BTC risk, volatility, and performance from our fixed-income securities, and transfer that performance to our $MSTR equity holders. pic.twitter.com/QedCazsrsN"
yes,2024-11-22T15:50:48.539000Z,1859987906787733878,https://x.com/saylor/status/1859987906787733878,1,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]",The price of $BTC is still less than $0.1M.
yes,2024-11-23T13:00:35.639000Z,1860307458645778583,https://x.com/saylor/status/1860307458645778583,1,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]","On July 3, 2002, $MSTR stock fell to an all-time low of $0.42. Yesterday, it closed at $421.88. Never. Never. Never give up."
yes,2024-11-23T19:04:48.324000Z,1860399115449799119,https://x.com/saylor/status/1860399115449799119,1,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]",#Bitcoin is Cyber Manhattan. You should buy it. pic.twitter.com/gApmcYckuW
yes,2024-11-23T20:53:52.943000Z,1860426565571486028,https://x.com/saylor/status/1860426565571486028,1,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]",#Bitcoin is coming to the real estate business.
yes,2024-11-24T13:01:13.810000Z,1860670006612095133,https://x.com/saylor/status/1860670006612095133,1,hint_yes_strong,actionable,medium,semantic_signal_full_pass,语义结构与历史 dots/orange/work/HODL 买入或不买暗示一致，需结合价格曲线看是否已被交易,,hint_yes_strong,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]",We need more green dots on https://t.co/Bx3917zeAK . pic.twitter.com/0VCrBs9oUa
yes,2024-11-24T21:46:56.371000Z,1860802305701941573,https://x.com/saylor/status/1860802305701941573,1,context_media_policy,context,low,semantic_context_full_pass,访谈/媒体/观点传播，非具体买入信号,,context,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]","Since I am All-In on #Bitcoin , maybe you should invite me onto The All-In Podcast. I am sure an entertaining discussion would ensue."
yes,2024-11-24T21:57:34.584000Z,1860804982561247320,https://x.com/saylor/status/1860804982561247320,1,irrelevant_reply,none,low,semantic_irrelevant_full_pass,短回复/社交互动，无法指向 Strategy 当期买或不买 BTC,,,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]",True 🚀
yes,2024-11-24T22:17:30.957000Z,1860810000513327230,https://x.com/saylor/status/1860810000513327230,1,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]",The Strategic #Bitcoin Reserve has Historic Precedents pic.twitter.com/pmOr8HsVCC
yes,2024-11-24T22:53:02.639000Z,1860818941435584962,https://x.com/saylor/status/1860818941435584962,1,irrelevant_reply,none,low,semantic_irrelevant_full_pass,短回复/社交互动，无法指向 Strategy 当期买或不买 BTC,,,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]",Good question:
yes,2024-11-25T13:04:52.072000Z,1861033309934862601,https://x.com/saylor/status/1861033309934862601,1,confirm_yes,actionable,high,confirmed_disclosure,Saylor/Strategy 明确披露买入或未买入，是最终确认信号,,confirm_yes,,,"[{""idx"":""1"",""slug"":""will-microstrategy-purchase-more-bitcoin-in-2024""}]","MicroStrategy has acquired 55,500 BTC for ~$5.4 billion at ~$97,862 per #bitcoin and has achieved BTC Yield of 35.2% QTD and 59.3% YTD. As of 11/24/2024, we hodl 386,700 $BTC acquired for ~$21.9 billion at ~$56,761 per bitcoin. $MSTR https://t.co/79ExzXk4UM"
